id,title,artist,date,score,link
262,Tha Carter IV,Lil Wayne,2011-08-31,3.0,https://www.youtube.com/watch?v=mk43w6R5vW4
263,Tripper,Hella,2011-09-01,6.0,https://www.youtube.com/watch?v=rXgxJk5dBS8
264,Bad Vibes,Shlohmo,2011-09-02,7.0,https://www.youtube.com/watch?v=_Fh9EiKr9iU
266,"Father, Son, Holy Ghost",Girls,2011-09-07,7.0,https://www.youtube.com/watch?v=MbLt2Qgl350
267,The Golden Age of Apocalypse,Thundercat,2011-09-08,8.0,https://www.youtube.com/watch?v=a9TwaFehPHo
268,Leave Home,The Men,2011-09-09,6.0,https://www.youtube.com/watch?v=wFKoYmiTws4
269,Celestial Lineage,Wolves In the Throne Room,2011-09-12,6.0,https://www.youtube.com/watch?v=axVo2kNjKXc
270,Strange Mercy,St. Vincent,2011-09-13,8.0,https://www.youtube.com/watch?v=JGeLYl3kkmg
271,Era Extraña,Neon Indian,2011-09-14,3.0,https://www.youtube.com/watch?v=7KSn_S1rMIU
272,Relax,Das Racist,2011-09-20,6.0,https://www.youtube.com/watch?v=yvjxdtcLVfI
273,Veronica Falls,Veronica Falls,2011-09-21,8.0,https://www.youtube.com/watch?v=OmUdajuMIns
274,Knife Man,Andrew Jackson Jihad,2011-09-22,8.0,https://www.youtube.com/watch?v=pOI3xkXoId0
275,Heritage,Opeth,2011-09-25,5.0,https://www.youtube.com/watch?v=NvFPmfdppYg
276,Wild Flag,Wild Flag,2011-09-27,7.0,https://www.youtube.com/watch?v=2c5KCsYiYoY
277,The Hunter,Mastodon,2011-09-28,5.0,https://www.youtube.com/watch?v=ApMeFBLy3v0
278,BBNG,BADBADNOTGOOD,2011-09-29,8.0,https://www.youtube.com/watch?v=A96ENM-zcnE
279,Cole World: The Sideline Story,J. Cole,2011-09-30,6.0,https://www.youtube.com/watch?v=NLVxe2Evtkk
281,The Whole Love,Wilco,2011-10-05,7.0,https://www.youtube.com/watch?v=JeIw4S0_mKU
282,Denton After Sunset,Teenage Cool Kids,2011-10-06,7.0,https://www.youtube.com/watch?v=BXralORhPus
283,Wildlife,La Dispute,2011-10-10,8.0,https://www.youtube.com/watch?v=yxTPfKspFl8
284,Enough Thunder,James Blake,2011-10-11,5.0,https://www.youtube.com/watch?v=QSMwuVqBQeA
286,Metals,Feist,2011-10-12,4.0,https://www.youtube.com/watch?v=xt8IbWk9eSQ
287,Glass Swords,Rustie,2011-10-13,7.0,https://www.youtube.com/watch?v=bvq9_gEwE9A
288,Rules,Civil Civic,2011-10-17,7.0,https://www.youtube.com/watch?v=fU1YnAn4lWY
289,Abzu,Absu,2011-10-19,8.0,https://www.youtube.com/watch?v=xZnmheQqgUs
291,Severant,Kuedo,2011-10-20,6.0,https://www.youtube.com/watch?v=JknqyWg0Vrs
292,"Hurry Up, We're Dreaming",M83,2011-10-23,4.0,https://www.youtube.com/watch?v=KGLwTJ47stQ
293,Bad As Me,Tom Waits,2011-10-25,7.0,https://www.youtube.com/watch?v=cYpnHONNf1k
294,Looping State of Mind,The Field,2011-10-26,7.0,https://www.youtube.com/watch?v=7VEeJ02y0H4
295,"Audio, Video, Disco",Justice,2011-10-27,5.0,https://www.youtube.com/watch?v=YH36huOO0HE
296,Black & Brown,Black Milk & Danny Brown,2011-10-28,7.0,https://www.youtube.com/watch?v=X7eK8bLJEMo
297,I Wish My Brother Rob Was Here,milo,2011-10-31,8.0,https://www.youtube.com/watch?v=1_d3YFEGeCQ
298,Abhorrent Evolution,Oblivionized,2011-11-01,8.0,https://www.youtube.com/watch?v=8PqLOyHA7BI
299,Lulu,Lou Reed and Metallica,2011-11-02,6.0,https://www.youtube.com/watch?v=RUNnXRjmGoQ
300,LiveLoveA$AP,ASAP Rocky,2011-11-03,8.0,https://www.youtube.com/watch?v=NHnS2gDJEPY
301,Live Music,The Strange Boys,2011-11-03,7.0,https://www.youtube.com/watch?v=rgIESOp7WCM
302,All Things Will Unwind,My Brightest Diamond,2011-11-06,6.0,https://www.youtube.com/watch?v=CPVjp0i3WPQ
303,Transmission Zero,Ghoul,2011-11-07,8.0,https://www.youtube.com/watch?v=uEINRdIFHK0
304,Crazy Clown Time,David Lynch,2011-11-08,5.0,https://www.youtube.com/watch?v=YvcQAEJ6AvU
305,Camp,Childish Gambino,2011-11-08,2.0,https://www.youtube.com/watch?v=EGFCKb5PfDA
306,Parallax,Atlas Sound,2011-11-09,6.0,https://www.youtube.com/watch?v=vOrHGz2U-zA
307,The Lack Long After,Pianos Become the Teeth,2011-11-10,6.0,https://www.youtube.com/watch?v=Z9qBtOaCRzc
308,Take Care,Drake,2011-11-15,6.0,https://www.youtube.com/watch?v=CxT49-YpUNc
309,Radiant Door,Crystal Stilts,2011-11-17,6.0,https://www.youtube.com/watch?v=G-Rnu8q8fSI
310,King Krule,King Krule,2011-11-17,7.0,https://www.youtube.com/watch?v=oeiWtWcROvo
311,Ambition,Wale,2011-11-18,4.0,https://www.youtube.com/watch?v=jtT_ilEovl0
312,Blue Slide Park,Mac Miller,2011-11-18,5.0,https://www.youtube.com/watch?v=5H69rSUADF0
313,Carbon-Based Anatomy,Cynic,2011-11-21,7.0,https://www.youtube.com/watch?v=g01hbKaIfg4
314,50 Words For Snow,Kate Bush,2011-11-22,7.0,https://www.youtube.com/watch?v=PiuMwOAX72U
315,Outer Isolation,Vektor,2011-11-23,8.0,https://www.youtube.com/watch?v=iRG4w5x2vV8
316,λόγος,The Log.Os,2011-11-24,8.0,https://www.youtube.com/watch?v=ImsHI_Z6T2I
317,The Spits,The Spits,2011-11-28,6.0,https://www.youtube.com/watch?v=jR4A97iLRxg
318,Radioactive,Yelawolf,2011-11-29,5.0,https://www.youtube.com/watch?v=W31Mox0Ez1U
319,Red Horse,Red Horse,2011-11-30,6.0,https://www.youtube.com/watch?v=XmxL81mXR2I
320,Replica,Oneohtrix Point Never,2011-12-01,8.0,https://www.youtube.com/watch?v=UHFFlrSZF-U
321,Howl of the Lonely Crowd,Comet Gain,2011-12-02,7.0,https://www.youtube.com/watch?v=J10Fov5VEP8
322,El Camino,The Black Keys,2011-12-05,6.0,https://www.youtube.com/watch?v=Q5d9O8CPh7w
323,Glimmer,Jacaszek,2011-12-06,7.0,https://www.youtube.com/watch?v=oyr32v8ibE4
324,Spiritual State,Nujabes,2011-12-07,6.0,https://www.youtube.com/watch?v=_Ca1LFIih3k
325,Dwellings,Cormorant,2011-12-08,8.0,https://www.youtube.com/watch?v=rwAHEPfpiOI
327,Humor Risk,Cass McCombs,2011-12-15,6.0,https://www.youtube.com/watch?v=7UbRxK4qMRs
332,Purple Naked Ladies,The Internet,2012-01-02,4.0,https://www.youtube.com/watch?v=VhsLsnnCaMU
333,Let's Go Eat the Factory,Guided by Voices,2012-01-03,6.0,https://www.youtube.com/watch?v=U78NIj16Ou0
334,Echoes of Silence,The Weeknd,2012-01-04,8.0,https://www.youtube.com/watch?v=nuRLRQl0tZ8
335,Idiom Wind,Zammuto,2012-01-05,7.0,https://www.youtube.com/watch?v=0bCcHtQerqE
336,Les voyages de l'Âme,Alcest,2012-01-06,5.0,https://www.youtube.com/watch?v=kgOFgQLoPgg
337,Come Sunday,Charlie Haden & Hank Jones,2012-01-10,6.0,https://www.youtube.com/watch?v=OB31JSo1MPU
338,Amongst These Splintered Minds...,The Act of Estimating as Worthless,2012-01-12,7.0,https://www.youtube.com/watch?v=4EzQRbeLeXk
339,Attack On Memory,Cloud Nothings,2012-01-16,8.0,https://www.youtube.com/watch?v=V3TEU7FBXC4
340,Habits & Contradictions,ScHoolboy Q,2012-01-17,5.0,https://www.youtube.com/watch?v=ITVA5ALfEiE
341,Tape One,Young Fathers,2012-01-18,8.0,https://www.youtube.com/watch?v=bhBkb4ayfVY
342,The Lion's Roar,First Aid Kit,2012-01-19,7.0,https://www.youtube.com/watch?v=bEj3GUmhci4
343,MU.ZZ.LE,Gonjasufi,2012-01-23,6.0,https://www.youtube.com/watch?v=MEvzOm8XUgo
344,Something,Chairlift,2012-01-24,7.0,https://www.youtube.com/watch?v=sVjHl5LdLco
345,Resolution,Lamb of God,2012-01-25,3.0,https://www.youtube.com/watch?v=nYcnhe_y21g
346,The Horror,Pop. 1280,2012-01-26,7.0,https://www.youtube.com/watch?v=fUYvPM4dYBo
347,Nehru Jackets,Heems,2012-01-27,8.0,https://www.youtube.com/watch?v=dHOHrx-p9sc
348,Born to Die,Lana Del Rey,2012-01-30,3.0,https://www.youtube.com/watch?v=mzyin0buNks
349,Given to the Wild,The Maccabees,2012-01-31,5.0,https://www.youtube.com/watch?v=Hll4l4aAyhY
350,fin,John Talabot,2012-02-02,8.0,https://www.youtube.com/watch?v=wktzFuTHqls
351,I.V.,Loma Prieta,2012-02-03,8.0,https://www.youtube.com/watch?v=uOqCnL0MEPw
352,Paralytic Stalks,of Montreal,2012-02-06,7.0,https://www.youtube.com/watch?v=h_jZvILNGzo
353,Old Ideas,Leonard Cohen,2012-02-07,5.0,https://www.youtube.com/watch?v=qjKuzGK04GY
354,Onwards To The Wall,A Place To Bury Strangers,2012-02-08,5.0,https://www.youtube.com/watch?v=zvvISXU7YaQ
355,Vacation,Shlohmo,2012-02-08,7.0,https://www.youtube.com/watch?v=8Mxjjefgprw
356,Tramp,Sharon Van Etten,2012-02-09,7.0,https://www.youtube.com/watch?v=E9V9AkezyRQ
357,When You're Gone,Lapalux,2012-02-12,6.0,https://www.youtube.com/watch?v=ew9pSl1vJP0
358,Portico Quartet,Portico Quartet,2012-02-13,8.0,https://www.youtube.com/watch?v=BkehXdTfF38
359,"Angels of Darkness, Demons of Light II",Earth,2012-02-14,6.0,https://www.youtube.com/watch?v=dfzAuvtWVYk
360,Kindred EP,Burial,2012-02-15,8.0,https://www.youtube.com/watch?v=roeyTQmPbWw
361,Young & Old,Tennis,2012-02-16,4.0,https://www.youtube.com/watch?v=_OccjaZSDHI
362,Blood For the Master,Goatwhore,2012-02-17,7.0,https://www.youtube.com/watch?v=Wjc0FV3AAgM
363,Visions,Grimes,2012-02-20,5.0,https://www.youtube.com/watch?v=mwX3u3tG9bQ
364,Put Your Back N 2 It,Perfume Genius,2012-02-21,9.0,https://www.youtube.com/watch?v=GBp40M6WMxA
365,Reign of Terror,Sleigh Bells,2012-02-22,5.0,https://www.youtube.com/watch?v=X-VSXW3qthQ
366,Sorrow and Extinction,Pallbearer,2012-02-23,7.0,https://www.youtube.com/watch?v=5n5X5kQmnBw
367,Possession,Christian Mistress,2012-02-28,8.0,https://www.youtube.com/watch?v=llsGRWq4K8M
368,WZRD,WZRD,2012-02-29,3.0,https://www.youtube.com/watch?v=FnA5YRQwvRk
369,4evaNaDay,Big K.R.I.T.,2012-03-07,8.0,https://www.youtube.com/watch?v=mbmpyvyIj3A
370,Love at the Bottom of the Sea,The Magnetic Fields,2012-03-08,5.0,https://www.youtube.com/watch?v=6xc2uTO9v_Y
371,Open Your Heart,The Men,2012-03-09,7.0,https://www.youtube.com/watch?v=4X8MvSNS1j4
372,Narrow,Soap&Skin,2012-03-21,8.0,https://www.youtube.com/watch?v=Y_5jlhMZwEM
373,The OF Tape Vol. 2,OFWGKTA,2012-03-22,4.0,https://www.youtube.com/watch?v=HxmQFplBmSI
374,Wreck,Unsane,2012-03-23,7.0,https://www.youtube.com/watch?v=T2Dodo3pAtc
375,awE naturalE,THEESatisfaction,2012-03-26,8.0,https://www.youtube.com/watch?v=7rB4Qc-MRks
376,Port of Morrow,The Shins,2012-03-27,5.0,https://www.youtube.com/watch?v=lQkaU6wMgaM
377,Noctourniquet,The Mars Volta,2012-03-28,7.0,https://www.youtube.com/watch?v=RJDxHb5bsWc
378,Silent Hour / Golden Mile,Daniel Rossen,2012-03-29,8.0,https://www.youtube.com/watch?v=TlLz3R4O1EI
379,Koloss,Meshuggah,2012-03-30,6.0,https://www.youtube.com/watch?v=RE9pUpdFmeE
380,De Vermis Mysteriis,High On Fire,2012-04-04,8.0,https://www.youtube.com/watch?v=tHsdqsUxR3Q
381,BBNG2,BADBADNOTGOOD,2012-04-05,9.0,https://www.youtube.com/watch?v=e2g9_YXxfY0
382,Kill For Love,Chromatics,2012-04-07,4.0,https://www.youtube.com/watch?v=5x77EWbpJnc
383,Acousmatic Sorcery,Willis Earl Beal,2012-04-09,4.0,https://www.youtube.com/watch?v=XmSktY7RhAE
384,"World, You Need a Change of Mind",Kindness,2012-04-10,7.0,https://www.youtube.com/watch?v=VpLANug-ClI
385,Locked Down,Dr. John,2012-04-11,7.0,https://www.youtube.com/watch?v=PVvWk4Vko6Q
386,Spooky Action at a Distance,Lotus Plaza,2012-04-13,6.0,https://www.youtube.com/watch?v=63hrqTPY-KM
387,Mr. Impossible,Black Dice,2012-04-14,5.0,https://www.youtube.com/watch?v=uvHLmv_WdIA
388,Sweet Heart Sweet Light,Spiritualized,2012-04-16,8.0,https://www.youtube.com/watch?v=JBKPJ5VUbr8
389,Quakers,Quakers,2012-04-17,5.0,https://www.youtube.com/watch?v=fyGK13tSjsc
390,With Siinai: Heartbreaking Bravery,Moonface,2012-04-19,6.0,https://www.youtube.com/watch?v=LmFqBFeGADM
391,The Money Store,Death Grips,2012-04-20,10.0,https://www.youtube.com/watch?v=mK54P7VeM1g
392,Dross Glop,Battles,2012-04-23,6.0,https://www.youtube.com/watch?v=Sx7w_3vZ3F4
393,Blunderbuss,Jack White,2012-04-24,6.0,https://www.youtube.com/watch?v=vcTtK_FlGsU
394,Sinews,White Suns,2012-04-25,8.0,https://www.youtube.com/watch?v=XxbkE90hv38
395,R.I.P.,Actress,2012-04-26,5.0,https://www.youtube.com/watch?v=3Fw_fariB2A
396,Harmonicraft,Torche,2012-04-30,8.0,https://www.youtube.com/watch?v=c1LHWTKqFcI
397,History Will Absolve me,Billy Woods,2012-05-02,8.0,https://www.youtube.com/watch?v=KonQ_39B0uU
398,Dweller On the Threshold,Dweller On the Threshold,2012-05-04,6.0,https://www.youtube.com/watch?v=BtV3qoHqVkI
399,OFF!,OFF!,2012-05-07,7.0,https://www.youtube.com/watch?v=RqwXttWKaAU
400,Galaxy Garden,Lone,2012-05-08,8.0,https://www.youtube.com/watch?v=6fW1KL8qmzs
401,Strange Clouds,B.o.B.,2012-05-09,4.0,https://www.youtube.com/watch?v=eboBBDS-Klw
402,Ten Stories,mewithoutYou,2012-05-11,6.0,https://www.youtube.com/watch?v=XZ3LM0xjcPA
403,Bloom,Beach House,2012-05-14,8.0,https://www.youtube.com/watch?v=S9Up_xgbZaQ
404,Ufabulum,Squarepusher,2012-05-15,6.0,https://www.youtube.com/watch?v=jUYWMOOUY08
405,Control System,Ab-Soul,2012-05-16,8.0,https://www.youtube.com/watch?v=tAXqMlMoyg8
407,Born Villain,Marilyn Manson,2012-05-17,3.0,https://www.youtube.com/watch?v=zxs4h0ABJMI
408,R.A.P. Music,Killer Mike,2012-05-18,8.0,https://www.youtube.com/watch?v=E3kvrf4mO4g
409,Natural History,Dope Body,2012-05-21,9.0,https://www.youtube.com/watch?v=bfeusyA-J5k
410,The Only Place,Best Coast,2012-05-22,3.0,https://www.youtube.com/watch?v=bQ04LrK4epI
411,Clear Moon,Mount Eerie,2012-05-23,7.0,https://www.youtube.com/watch?v=60d5MYBMAns
412,Tour Sampler CD-R,Cerce,2012-05-24,7.0,https://www.youtube.com/watch?v=V4RJ0eOZiXE
413,Cancer For Cure,El-P,2012-05-25,6.0,https://www.youtube.com/watch?v=uQEaJknSSXI
414,Valtari,Sigur Rós,2012-05-29,7.0,https://www.youtube.com/watch?v=39G4QwnUOzw
415,Live From the Underground,Big K.R.I.T.,2012-05-30,7.0,https://www.youtube.com/watch?v=5dX5az_Sn2w
416,Sentenced to Life,Black Breath,2012-06-04,8.0,https://www.youtube.com/watch?v=IGVvYilN48I
417,Celebration Rock,Japandroids,2012-06-05,5.0,https://www.youtube.com/watch?v=u-wCVuxgRVE
418,Americana,Neil Young & Crazy Horse,2012-06-06,7.0,https://www.youtube.com/watch?v=6j-L50IZEZg
419,WIXIW,Liars,2012-06-07,7.0,https://www.youtube.com/watch?v=zhYKXT3l69Y
420,On Acid,Recondite,2012-06-08,8.0,https://www.youtube.com/watch?v=-NI4-QvHv9M
421,There's No Leaving Now,The Tallest Man On Earth,2012-06-11,8.0,https://www.youtube.com/watch?v=Vsb5OhJILf8
422,Kin,iamamiwhoami,2012-06-12,8.0,https://www.youtube.com/watch?v=_Fdv0XkbgSE
423,Instrumentals 2,Clams Casino,2012-06-13,7.0,https://www.youtube.com/watch?v=b6_aekrjI_k
424,Phantom Antichrist,Kreator,2012-06-14,5.0,https://www.youtube.com/watch?v=HJS6uAN23rM
426,1999,Joey Bada$$,2012-06-18,7.0,https://www.youtube.com/watch?v=--YnsRamkzc
427,The Idler Wheel...,Fiona Apple,2012-06-19,9.0,https://www.youtube.com/watch?v=A6dKpFq0IxU
428,The Bravest Man In the Universe,Bobby Womack,2012-06-20,6.0,https://www.youtube.com/watch?v=-2BfsmZSyD8
429,The Stoned Immaculate,Curren$y,2012-06-21,3.0,https://www.youtube.com/watch?v=ktsk_xYWl7s
430,Synthetica,Metric,2012-06-22,3.0,https://www.youtube.com/watch?v=XQbBEdzZbaU
431,Oceania,The Smashing Pumpkins,2012-06-25,6.0,https://www.youtube.com/watch?v=GX0CdRiz9xY
432,4NML HSPTL,Open Mike Eagle,2012-06-26,7.0,https://www.youtube.com/watch?v=7rw9WkF4lPY
433,Slaughterhouse / Ty Segall & White Fence- Hair,Ty Segall Band,2012-06-27,8.0,https://www.youtube.com/watch?v=G-jE0gcdL9w
434,NO,Old Man Gloom,2012-06-28,6.0,https://www.youtube.com/watch?v=j2VypHw0AD4
435,In Our Heads,Hot Chip,2012-06-29,7.0,https://www.youtube.com/watch?v=Y8_RPvxcJ80
436,Drought,Deathspell Omega,2012-07-02,8.0,https://www.youtube.com/watch?v=blVUxudkFYM
437,Mysterious Phonk: The Chronicles of SpvcxxGhxztPvrrp,Spaceghostpurrp,2012-07-03,5.0,https://www.youtube.com/watch?v=mgDP2G2USzQ
438,Clockwork Angels,Rush,2012-07-05,6.0,https://www.youtube.com/watch?v=CHhdSJLmdu8
439,Swing Lo Magellan,Dirty Projectors,2012-07-06,6.0,https://www.youtube.com/watch?v=_7eIJDRGBb0
440,Cocody,H-SIK,2012-07-09,7.0,https://www.youtube.com/watch?v=qnzAw1QuayE
441,Take the Kids Off Broadway,Foxygen,2012-07-09,8.0,https://www.youtube.com/watch?v=NImDLA14kHs
442,Confess,Twin Shadow,2012-07-10,5.0,https://www.youtube.com/watch?v=J17fzL6a-lw
443,Channel Orange,Frank Ocean,2012-07-11,7.0,https://www.youtube.com/watch?v=RG8FKXlGdBU
444,Yellow and Green,Baroness,2012-07-13,7.0,https://www.youtube.com/watch?v=u1uuvuAe8Xg
445,No Youth,Wreck and Reference,2012-07-16,7.0,https://www.youtube.com/watch?v=Q94LHgvb7vs
446,Life Is Good,Nas,2012-07-17,4.0,https://www.youtube.com/watch?v=42RML92tDyQ
447,Holograms,Holograms,2012-07-18,8.0,https://www.youtube.com/watch?v=q6T1zppObmA
448,Skelethon,Aesop Rock,2012-07-19,7.0,https://www.youtube.com/watch?v=jO5gV6w8epQ
449,Unsound,Mission of Burma,2012-07-20,6.0,https://www.youtube.com/watch?v=KK8243vkLQ8
450,TNGHT,TNGHT,2012-07-23,9.0,https://www.youtube.com/watch?v=sjZJoRTOKr0
451,Eschatological Scatology,Gnaw Their Tongues,2012-07-24,7.0,https://www.youtube.com/watch?v=mVtFxatTLgU
452,Shrines,Purity Ring,2012-07-25,6.0,https://www.youtube.com/watch?v=SerNPTbrF84
453,See the World Given to a One Love Entity,Guardian Alien,2012-07-27,6.0,https://www.youtube.com/watch?v=J6xkvLGQbAU
454,"God Forgives, I Don't",Rick Ross,2012-07-30,3.0,https://www.youtube.com/watch?v=CTTmj5V5h_M
455,Silencing Machine,Nachtmystium,2012-08-01,8.0,https://www.youtube.com/watch?v=5WlRFlH5oRI
456,Gossamer,Passion Pit,2012-08-02,6.0,https://www.youtube.com/watch?v=zFg1j6oSiBo
457,Advaitic Songs,Om,2012-08-03,5.0,https://www.youtube.com/watch?v=pRL_6Lf9Xrg
458,No Idols,Domo Genesis,2012-08-03,5.0,https://www.youtube.com/watch?v=bxkMo9ECakI
459,Instinct,Niki and the Dove,2012-08-12,6.0,https://www.youtube.com/watch?v=vu_Busuilos
460,Mature Themes,Ariel Pink's Haunted Graffiti,2012-08-13,6.0,https://www.youtube.com/watch?v=Iy4We7f42DY
461,Light Up Gold,Parquet Courts,2012-08-14,7.0,https://www.youtube.com/watch?v=ifoZ_rbwR_U
462,Based on a T.R.U. Story,2 Chainz,2012-08-16,4.0,https://www.youtube.com/watch?v=UShpz0i0k8w
463,Hasta La Muerte,Xibalba,2012-08-17,8.0,https://www.youtube.com/watch?v=W45ddJvxOUY
464,Key to the Kuffs,JJ DOOM,2012-08-20,6.0,https://www.youtube.com/watch?v=cJ5TedT9ZNA
465,Metahuman,Eprom,2012-08-21,7.0,https://www.youtube.com/watch?v=JoewSimddUg
466,Devotion,Jessie Ware,2012-08-22,4.0,https://www.youtube.com/watch?v=aAK0fVxfOUU
467,Nocturne,Wild Nothing,2012-08-23,8.0,https://www.youtube.com/watch?v=fSB9Wy0-Ps4
468,Four,Bloc Party,2012-08-24,7.0,https://www.youtube.com/watch?v=5WlUMxDtLqY
469,Beams,Matthew Dear,2012-08-27,8.0,https://www.youtube.com/watch?v=vdIL2Slt9yM
470,Autotheism,The Faceless,2012-08-28,5.0,https://www.youtube.com/watch?v=U-MRU5VBrWY
471,The Seer,Swans,2012-08-29,8.0,https://www.youtube.com/watch?v=ZAKIxgzgNJ8
472,Lord$ Never Worry,A$AP Mob,2012-08-30,3.0,https://www.youtube.com/watch?v=96slWZRmBWU
473,Welcome to: Our House,Slaughterhouse,2012-08-30,3.0,https://www.youtube.com/watch?v=BFCQItmLjww
474,Held,Holy Other,2012-08-31,6.0,https://www.youtube.com/watch?v=owZQq8IU8oA
475,Results,Murder Construct,2012-09-04,8.0,https://www.youtube.com/watch?v=tHcJpaXm0AQ
476,Centipede Hz,Animal Collective,2012-09-05,6.0,https://www.youtube.com/watch?v=MaD8AyoDcRc
477,I Know What Love Isn't,Jens Lekman,2012-09-06,7.0,https://www.youtube.com/watch?v=fLFHoY01a_w
478,Ocean Roar,Mount Eerie,2012-09-06,5.0,https://www.youtube.com/watch?v=RNOWaELu2TM
479,America,Dan Deacon,2012-09-07,5.0,https://www.youtube.com/watch?v=RHEI2gRzfPU
480,Coexist,The xx,2012-09-12,4.0,https://www.youtube.com/watch?v=aHhY1flRwVM
481,Years Past Matter,Krallice,2012-09-13,8.0,https://www.youtube.com/watch?v=_gGv4ZYuTeA
482,Ondatrópica,Ondatrópica,2012-09-15,9.0,https://www.youtube.com/watch?v=fg_z_80Frfw
483,Bend Beyond,Woods,2012-09-17,7.0,https://www.youtube.com/watch?v=qni6vhBYrBc
484,Shields,Grizzly Bear,2012-09-18,6.0,https://www.youtube.com/watch?v=HcE__4Fv5Hk
485,I Bet On Sky,Dinosaur Jr.,2012-09-20,7.0,https://www.youtube.com/watch?v=0Kb4w7dGSN0
486,Love This Giant,David Byrne & St. Vincent,2012-09-20,7.0,https://www.youtube.com/watch?v=eR0cWuLWhzo
487,Total Loss,How To Dress Well,2012-09-21,6.0,https://www.youtube.com/watch?v=sR8LEe8pjMs
488,Floral Green,Title Fight,2012-09-24,7.0,https://www.youtube.com/watch?v=aUClt-ivlH0
489,Breakthrough,The Gaslamp Killer,2012-09-25,8.0,https://www.youtube.com/watch?v=SjFIvCue6oE
490,Food & Liquor 2: The Great American Rap Album Pt. 1,Lupe Fiasco,2012-09-26,5.0,https://www.youtube.com/watch?v=DMzJ6KkJz_g
491,ANX,Dark Time Sunshine,2012-09-27,7.0,https://www.youtube.com/watch?v=orJVZPz8XXU
492,Until the Quiet Comes,Flying Lotus,2012-09-29,7.0,https://www.youtube.com/watch?v=LBnUyWddjsM
494,Piramida,Efterklang,2012-10-02,5.0,https://www.youtube.com/watch?v=9QmHTioUUaE
495,Babel,Mumford & Sons,2012-10-02,6.0,https://www.youtube.com/watch?v=oerGu27kun8
496,The 2nd Law,Muse,2012-10-04,3.0,https://www.youtube.com/watch?v=zZsgsn_fUao
497,An Awesome Wave,alt-J,2012-10-05,8.0,https://www.youtube.com/watch?v=_TZBdHjgMxI
498,NO LOVE DEEP WEB,Death Grips,2012-10-08,8.0,https://www.youtube.com/watch?v=niiR7Lsq-1o
499,METZ,METZ,2012-10-09,6.0,https://www.youtube.com/watch?v=q467HO8EEFw
500,Numbers,MellowHype,2012-10-09,3.0,https://www.youtube.com/watch?v=9UMVPr-4WiM
501,Lonerism,Tame Impala,2012-10-10,8.0,https://www.youtube.com/watch?v=f7crV1BXXVg
502,Transcendental Youth,The Mountain Goats,2012-10-10,7.0,https://www.youtube.com/watch?v=hBKOobrNh9Y
503,The Heist,Macklemore & Ryan Lewis,2012-10-11,7.0,https://www.youtube.com/watch?v=r3K4-d_XQaw
504,'Allelujah! Don't Bend! Ascend!,Godspeed You! Black Emperor,2012-10-12,8.0,https://www.youtube.com/watch?v=adyBTyBBOTM
505,All We Love We Leave Behind,Converge,2012-10-15,8.0,https://www.youtube.com/watch?v=MzLUol6iVUA
506,PBX Funicular Intaglio Zone,John Frusciante,2012-10-16,2.0,https://www.youtube.com/watch?v=P0RZxerD8m4
507,Jiaolong,Daphni,2012-10-19,6.0,https://www.youtube.com/watch?v=K-VeGR63e78
508,The Parallax II: Future Sequence,Between the Buried and Me,2012-10-19,4.0,https://www.youtube.com/watch?v=_JtSBVS1GkA
509,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-10-20,7.0,https://www.youtube.com/watch?v=gmM4mXdYuho
510,"good kid, m.A.A.d. city",Kendrick Lamar,2012-10-22,9.0,https://www.youtube.com/watch?v=VUUxtEQLAiQ
511,Alone Together,Karriem Riggins,2012-10-23,8.0,https://www.youtube.com/watch?v=w_6tcxol2J0
512,In the Middle of Infinity,3:33,2012-10-24,6.0,https://www.youtube.com/watch?v=zjJprluULvI
513,Book Burner,Pig Destroyer,2012-10-24,6.0,https://www.youtube.com/watch?v=Z7wMOFelXjY
514,3rd EP,Hoax,2012-10-26,6.0,https://www.youtube.com/watch?v=akZkPoJwEek
515,Unknown Rooms: A Collection of Acoustic Songs,Chelsea Wolfe,2012-10-26,7.0,https://www.youtube.com/watch?v=1Qy-Gs9hMq0
516,Luxury Problems,Andy Stott,2012-10-29,7.0,https://www.youtube.com/watch?v=wA8kYFNE5IU
517,2,Mac DeMarco,2012-10-30,6.0,https://www.youtube.com/watch?v=2Ad2VVgVBnc
518,Made Possible,The Bad Plus,2012-10-31,8.0,https://www.youtube.com/watch?v=hWxnq5EYbZU
519,Cobra Juicy,Black Moth Super Rainbow,2012-11-01,5.0,https://www.youtube.com/watch?v=IIwrQVPYaLk
520,Zeros,The Soft Moon,2012-11-01,4.0,https://www.youtube.com/watch?v=ruUkn7A1nQs
521,Dripping,Pile,2012-11-02,8.0,https://www.youtube.com/watch?v=QurcyHLpCEQ
522,Honor Found In Decay,Neurosis,2012-11-05,7.0,https://www.youtube.com/watch?v=u3ebepStQyc
523,Local Business,Titus Andronicus,2012-11-07,6.0,https://www.youtube.com/watch?v=68yux0jIEn4
524,Agnus Dei,The Secret,2012-11-08,5.0,https://www.youtube.com/watch?v=tCcwnP9IPs4
525,The Haunted Man,Bat For Lashes,2012-11-08,7.0,https://www.youtube.com/watch?v=bZtoB_Jf5CY
526,LUX,Brian Eno,2012-11-12,6.0,https://www.youtube.com/watch?v=h7nbd-Cg-CY
527,(III),Crystal Castles,2012-11-13,4.0,https://www.youtube.com/watch?v=XtGC_QIIHnc
